AADFYear,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_km,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
2000,6190,Estimated,Estimated using previous year's AADF on this link,London,Hackney,A10,PA,533470,182230,A1202,A1209,0.1,0.06,1169,2316,27527,1404,6861,1393,65,56,82,85,67,1748,39856
2000,6629,Estimated,Estimated using previous year's AADF on this link,London,Hackney,A104,PA,534880,186000,Downs Rd,Lea Bridge Rd,0.3,0.19,328,381,25665,1936,3528,946,41,19,39,30,33,1108,32618
2000,6632,Estimated,Estimated using previous year's AADF on this link,London,Hackney,A105,PA,532000,187600,A503,LA Boundary,0.4,0.25,462,1022,31083,1009,4419,766,38,19,27,16,17,883,38416
2000,6634,Counted,Manual count,London,Hackney,A107,PA,533000,187960,A503,LA Boundary,1,0.62,70,163,14984,577,1783,312,18,9,23,12,11,385,17892
2000,7716,Estimated,Estimated using previous year's AADF on this link,London,Hackney,A5201,PA,533330,182670,A1202,A10/A1208,0.2,0.12,947,2206,27638,1145,5559,953,61,54,59,94,89,1310,37858
2000,8064,Counted,Manual count,London,Hackney,A102,PA,536000,185157,A106,A107,1.6,0.99,467,417,18875,1005,2487,679,31,21,49,17,13,810,23594
2000,8475,Estimated,Estimated using previous year's AADF on this link,London,Hackney,A5201,PA,532929,182545,A501,A1202,0.2,0.12,1577,4047,34250,678,7693,1356,121,77,83,97,161,1895,48563
2000,16176,Estimated,Estimated using previous year's AADF on this link,London,Hackney,A10,PA,533540,185000,A104,Evering Rd,1.3,0.81,381,579,15316,913,399,1340,1259,28,13,23,42,2705,19912
2000,16616,Estimated,Estimated using previous year's AADF on this link,London,Hackney,A104,PA,533980,184900,A1207,A107,0.9,0.56,521,760,16831,354,442,1460,958,14,4,10,0,2446,20833
2000,16621,Estimated,Estimated using previous year's AADF on this link,London,Hackney,A107,PA,534860,184000,A106,A106,0.5,0.31,896,711,18978,1548,717,2066,1229,49,61,10,0,3415,25369
2000,17689,Counted,Manual count,London,Hackney,A5201,PA,533150,182610,A1202,A1202,0.3,0.19,658,2097,16716,258,4112,1030,100,82,48,48,31,1339,24522
2000,18046,Estimated,Estimated using previous year's AADF on this link,London,Hackney,A107,PA,534800,185199,A104,A107 Mare St,0.3,0.19,217,200,10331,1411,1236,186,5,4,3,4,8,210,13388
2000,18336,Estimated,Estimated using previous year's AADF on this link,London,Hackney,A10,PA,533650,187000,A10 Rectory Rd,A107 Clapton Common,1.1,0.68,427,635,23461,1278,3859,761,60,47,58,40,13,979,30212
2000,18456,Estimated,Estimated using previous year's AADF on this link,London,Hackney,A1200,PA,532740,182750,City Road,Vestry Srreet,0.3,0.19,634,1274,9846,317,1598,333,50,12,9,10,10,424,13459
2000,26182,Estimated,Estimated using previous year's AADF on this link,London,Hackney,A10,PA,533450,182500,A1209,A1208/A5201,0.4,0.25,651,2472,32275,1714,7035,1595,71,94,52,52,57,1921,45417
2000,26646,Counted,Manual count,London,Hackney,A104,PA,535000,186220,A107 Lower Clapton Rd,LA Boundary,0.8,0.5,357,1287,32795,598,4474,877,56,26,21,14,17,1011,40165
2000,26651,Counted,Manual count,London,Hackney,A107,PA,535050,185300,A107 Mare St,A102,0.3,0.19,730,239,12033,1809,1580,277,12,4,32,24,0,349,16010
2000,27239,Estimated,Estimated using previous year's AADF on this link,London,Hackney,A503,PA,532000,187400,A1201,A105,0.9,0.56,336,1024,27075,1293,5773,1258,86,97,106,81,57,1685,36850
2000,28092,Estimated,Estimated from nearby links,London,Hackney,A106,TA,536654,184727,A12,A12/A115,0.1,0.06,8,280,19643,88,3552,528,93,138,49,64,82,954,24517
2000,28212,Estimated,Estimated using previous year's AADF on this link,London,Hackney,A1202,PA,533360,182270,A10,A1202 Curtain Rd,0.3,0.19,897,2634,25347,1326,6657,1181,67,68,38,35,67,1456,37420
2000,28381,Estimated,Estimated using previous year's AADF on this link,London,Hackney,A1200,PA,532700,182820,City Road,East Road,0.3,0.19,148,308,4514,241,577,168,11,5,5,9,2,200,5840
2000,28535,Estimated,Estimated using previous year's AADF on this link,London,Hackney,A104,PA,533500,184780,LA Boundary,A10 Kingsland High St,0.1,0.06,731,1186,14488,840,3307,588,84,156,28,26,74,956,20777
2000,36186,Estimated,Estimated using previous year's AADF on this link,London,Hackney,A10,TA,533680,188000,A107,LA Boundary,0.3,0.19,330,949,35926,1552,6585,1222,74,37,45,51,65,1494,46506
2000,36187,Estimated,Estimated using previous year's AADF on this link,London,Hackney,A10,PA,533430,182100,LA Boundary,A1202 Commercial Street,0.2,0.12,1735,1587,18300,1258,3236,778,25,43,11,7,14,878,25259
