Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
2000,6190,Estimated,Estimated using previous year's AADF on this link,London,Hackney,A10,PU,533470,182230,A1202,A1209,0.06,26.51,52.53,624.31,31.84,155.61,31.59,1.47,1.27,1.86,1.93,1.52,39.64,903.94
2000,6629,Estimated,Estimated using previous year's AADF on this link,London,Hackney,A104,PU,534880,186000,Downs Rd,Lea Bridge Rd,0.19,22.32,25.92,1746.25,131.73,240.05,64.37,2.79,1.29,2.65,2.04,2.25,75.39,2219.33
2000,6632,Estimated,Estimated using previous year's AADF on this link,London,Hackney,A105,PU,532000,187600,A503,LA Boundary,0.25,41.91,92.72,2819.86,91.54,400.89,69.49,3.45,1.72,2.45,1.45,1.54,80.11,3485.11
2000,6634,Counted,Manual count,London,Hackney,A107,PU,533000,187960,A503,LA Boundary,0.62,15.88,36.97,3398.38,130.86,404.39,70.76,4.08,2.04,5.22,2.72,2.49,87.32,4057.91
2000,7716,Estimated,Estimated using previous year's AADF on this link,London,Hackney,A5201,PU,533330,182670,A1202,A10/A1208,0.12,42.96,100.06,1253.66,51.94,252.16,43.23,2.77,2.45,2.68,4.26,4.04,59.42,1717.24
2000,8064,Counted,Manual count,London,Hackney,A102,PU,536000,185157,A106,A107,0.99,169.47,151.32,6849.37,364.7,902.48,246.4,11.25,7.62,17.78,6.17,4.72,293.93,8561.81
2000,8475,Estimated,Estimated using previous year's AADF on this link,London,Hackney,A5201,PU,532929,182545,A501,A1202,0.12,71.53,183.57,1553.58,30.75,348.96,61.51,5.49,3.49,3.76,4.4,7.3,85.96,2202.82
2000,16176,Estimated,Estimated using previous year's AADF on this link,London,Hackney,A10,PU,533540,185000,A104,Evering Rd,0.81,112.33,170.71,4515.78,269.19,117.64,395.09,371.2,8.26,3.83,6.78,12.38,797.54,5870.87
2000,16616,Estimated,Estimated using previous year's AADF on this link,London,Hackney,A104,PU,533980,184900,A1207,A107,0.56,106.35,155.13,3435.55,72.26,90.22,298.02,195.55,2.86,0.82,2.04,0,499.28,4252.44
2000,16621,Estimated,Estimated using previous year's AADF on this link,London,Hackney,A107,PU,534860,184000,A106,A106,0.31,101.61,80.63,2152.11,175.54,81.31,234.28,139.37,5.56,6.92,1.13,0,387.26,2876.85
