AADFYear,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_km,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
2000,6644,Estimated,Estimated using previous year's AADF on this link,London,Newham,A112,PA,539200,184000,A118,A1011,0.8,0.5,231,181,15064,1329,1628,457,20,16,14,13,14,534,18736
2000,6649,Counted,Manual count,London,Newham,A117,PA,542040,185600,A118,A116,0.8,0.5,87,46,7519,424,772,108,1,0,2,0,0,111,8872
2000,6650,Estimated,Estimated using previous year's AADF on this link,London,Newham,A118,PA,542000,185480,A114,A117,1.6,0.99,277,253,22184,404,1470,513,35,6,22,26,9,611,24922
2000,8376,Estimated,Estimated using previous year's AADF on this link,London,Newham,A11,PA,538818,184238,A11 Great Eastern Rd,A112 Tramway Ave,0.2,0.12,467,959,29874,1948,3191,1064,36,62,55,75,63,1355,37327
2000,8542,Estimated,Estimated using previous year's AADF on this link,London,Newham,A118,PA,543000,186045,A116,A406,0.9,0.56,159,365,37347,632,3649,450,35,35,35,16,12,583,42576
2000,16187,Estimated,Estimated using previous year's AADF on this link,London,Newham,A11,PA,539200,185050,A11 Great Eastern Rd,A112,0.8,0.5,388,1031,24542,718,3603,794,42,27,99,105,91,1158,31052
2000,16202,Counted,Manual count,London,Newham,A13,TA,542000,182120,A112,A117,2,1.24,108,2886,53641,277,10009,2773,267,1068,268,399,309,5084,71897
2000,16628,Estimated,Estimated using previous year's AADF on this link,London,Newham,A112,PA,540670,183000,A114,A124,0.9,0.56,168,175,17010,398,2330,337,28,19,10,5,5,404,20317
2000,16631,Estimated,Estimated using previous year's AADF on this link,London,Newham,A114,PA,540350,184000,A112,A118,2,1.24,151,110,13210,220,1765,254,16,0,2,2,0,274,15579
2000,16632,Estimated,Estimated using previous year's AADF on this link,London,Newham,A115,PA,538360,184000,LA Boundary,A11,1.3,0.81,103,208,8988,234,2045,460,75,120,24,59,24,762,12237
