Area,mnemonic,Gender,Health Status,Age 0 to 15,Age 16 to 24,Age 25 to 34,Age 35 to 49,Age 50 to 64,Age 65 to 74,Age 75 to 84,Age 85 and over
ualad09:Tower Hamlets,E09000030,Male,Day-to-day activities limited a lot,580,328,636,1782,2256,1165,1051,342
msoa2011:Tower Hamlets 001,E02000864,Male,Day-to-day activities limited a lot,18,19,22,78,105,70,49,28
msoa2011:Tower Hamlets 002,E02000865,Male,Day-to-day activities limited a lot,14,13,14,66,74,49,35,14
msoa2011:Tower Hamlets 003,E02000866,Male,Day-to-day activities limited a lot,14,9,26,54,94,44,43,19
msoa2011:Tower Hamlets 004,E02000867,Male,Day-to-day activities limited a lot,18,11,23,65,64,37,26,11
msoa2011:Tower Hamlets 005,E02000868,Male,Day-to-day activities limited a lot,12,11,21,40,56,25,25,10
msoa2011:Tower Hamlets 006,E02000869,Male,Day-to-day activities limited a lot,14,7,16,61,70,34,40,12
msoa2011:Tower Hamlets 007,E02000870,Male,Day-to-day activities limited a lot,20,11,15,50,62,32,42,11
msoa2011:Tower Hamlets 008,E02000871,Male,Day-to-day activities limited a lot,25,12,22,61,83,41,43,9
msoa2011:Tower Hamlets 009,E02000872,Male,Day-to-day activities limited a lot,22,10,19,62,66,28,32,8
msoa2011:Tower Hamlets 010,E02000873,Male,Day-to-day activities limited a lot,18,4,11,44,68,36,31,12
msoa2011:Tower Hamlets 011,E02000874,Male,Day-to-day activities limited a lot,33,6,31,77,81,36,30,8
msoa2011:Tower Hamlets 012,E02000875,Male,Day-to-day activities limited a lot,25,18,29,91,96,25,22,14
msoa2011:Tower Hamlets 013,E02000876,Male,Day-to-day activities limited a lot,15,10,31,62,87,39,28,5
msoa2011:Tower Hamlets 014,E02000877,Male,Day-to-day activities limited a lot,28,20,23,56,104,59,38,5
msoa2011:Tower Hamlets 015,E02000878,Male,Day-to-day activities limited a lot,12,10,20,61,80,62,52,9
msoa2011:Tower Hamlets 016,E02000879,Male,Day-to-day activities limited a lot,20,8,19,53,89,52,48,19
msoa2011:Tower Hamlets 017,E02000880,Male,Day-to-day activities limited a lot,15,7,30,45,61,24,31,8
msoa2011:Tower Hamlets 018,E02000881,Male,Day-to-day activities limited a lot,31,20,16,44,75,32,24,8
msoa2011:Tower Hamlets 019,E02000882,Male,Day-to-day activities limited a lot,37,12,19,82,76,47,44,20
msoa2011:Tower Hamlets 020,E02000883,Male,Day-to-day activities limited a lot,26,17,22,81,103,36,40,18
msoa2011:Tower Hamlets 021,E02000884,Male,Day-to-day activities limited a lot,16,9,16,49,60,41,42,12
msoa2011:Tower Hamlets 022,E02000885,Male,Day-to-day activities limited a lot,17,11,17,66,76,48,43,12
msoa2011:Tower Hamlets 023,E02000886,Male,Day-to-day activities limited a lot,14,9,25,43,78,23,24,8
msoa2011:Tower Hamlets 024,E02000887,Male,Day-to-day activities limited a lot,27,8,27,49,77,51,36,14
msoa2011:Tower Hamlets 025,E02000888,Male,Day-to-day activities limited a lot,20,4,19,58,54,19,21,10
