AADFYear,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_km,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
2000,6071,Counted,Manual count,London,Tower Hamlets,A12,TA,538180,181800,A13,A11,2.1,1.3,30,1130,57030,499,11467,2245,337,704,168,521,213,4188,74314
2000,6201,Counted,Manual count,London,Tower Hamlets,A11,PA,537000,182730,A1205,A12,1.5,0.93,1020,1481,38506,524,7178,1339,130,97,145,63,76,1850,49539
2000,6216,Estimated,Estimated using previous year's AADF on this link,London,Tower Hamlets,A13,TA,538200,181030,A1206,A102,0.2,0.12,482,4286,37360,613,1596,4472,3089,183,286,87,19,8136,51991
2000,6636,Estimated,Estimated using previous year's AADF on this link,London,Tower Hamlets,A107,PA,535030,182500,Mile End Rd,Bethnal Green Rd,0.9,0.56,562,563,16416,785,2920,452,34,48,23,8,6,571,21255
2000,7540,Estimated,Estimated using previous year's AADF on this link,London,Tower Hamlets,A1205,PA,536630,182000,A13/A1261,A11,1.6,0.99,318,469,14891,644,451,1338,1197,57,32,8,0,2632,19087
2000,8284,Estimated,Estimated using previous year's AADF on this link,London,Tower Hamlets,A1202,PA,534160,180760,A1203,Cable Street,0.2,0.12,114,361,7244,130,1543,439,34,22,9,15,8,527,9805
2000,8489,Estimated,Estimated using previous year's AADF on this link,London,Tower Hamlets,A13,TA,536100,181139,A126,A101,0.2,0.12,417,1323,25335,432,811,2755,1684,137,90,72,1,4739,32640
2000,8754,Estimated,Estimated using previous year's AADF on this link,London,Tower Hamlets,A1206,PA,538520,178900,Ferry Street,A1261,2.7,1.68,320,438,5667,413,381,818,500,33,25,47,0,1423,8322
2000,16188,Estimated,Estimated using previous year's AADF on this link,London,Tower Hamlets,A11,PA,534280,181620,A1202/A13 mid-junction,A107,1.1,0.68,72,48,17493,0,3317,511,1072,486,138,626,0,2833,23691
2000,16203,Estimated,Estimated using previous year's AADF on this link,London,Tower Hamlets,A13,TA,536500,181120,A101,A1261,0.8,0.5,248,1443,31570,763,4291,1081,85,71,42,76,59,1414,39481
