Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
2000,6071,Counted,Manual count,London,Tower Hamlets,A12,TU,538180,181800,A13,A11,1.3,14.29,538.2,27162.31,237.66,5461.51,1069.25,160.51,335.3,80.02,248.14,101.45,1994.66,35394.35
2000,6201,Counted,Manual count,London,Tower Hamlets,A11,PU,537000,182730,A1205,A12,0.93,347,503.84,13099.77,178.27,2441.96,455.53,44.23,33,49.33,21.43,25.86,629.37,16853.2
2000,6216,Estimated,Estimated using previous year's AADF on this link,London,Tower Hamlets,A13,TU,538200,181030,A1206,A102,0.12,21.86,194.41,1694.65,27.81,72.39,202.85,140.12,8.3,12.97,3.95,0.86,369.05,2358.32
2000,6636,Estimated,Estimated using previous year's AADF on this link,London,Tower Hamlets,A107,PU,535030,182500,Mile End Rd,Bethnal Green Rd,0.56,114.72,114.92,3350.84,160.23,596.03,92.26,6.94,9.8,4.69,1.63,1.22,116.55,4338.58
2000,7540,Estimated,Estimated using previous year's AADF on this link,London,Tower Hamlets,A1205,PU,536630,182000,A13/A1261,A11,0.99,115.4,170.19,5403.66,233.7,163.66,485.53,434.37,20.68,11.61,2.9,0,955.1,6926.31
2000,8284,Estimated,Estimated using previous year's AADF on this link,London,Tower Hamlets,A1202,PU,534160,180760,A1203,Cable Street,0.12,5.17,16.37,328.59,5.9,69.99,19.91,1.54,1,0.41,0.68,0.36,23.9,444.76
2000,8489,Estimated,Estimated using previous year's AADF on this link,London,Tower Hamlets,A13,TU,536100,181139,A126,A101,0.12,18.92,60.01,1149.2,19.6,36.79,124.97,76.39,6.21,4.08,3.27,5.00E-02,214.96,1480.55
2000,8754,Estimated,Estimated using previous year's AADF on this link,London,Tower Hamlets,A1206,PU,538520,178900,Ferry Street,A1261,1.68,195.96,268.21,3470.25,252.91,233.31,500.91,306.18,20.21,15.31,28.78,0,871.39,5096.07
2000,16188,Estimated,Estimated using previous year's AADF on this link,London,Tower Hamlets,A11,PU,534280,181620,A1202/A13 mid-junction,A107,0.68,17.96,11.98,4364.16,0,827.53,127.48,267.44,121.25,34.43,156.17,0,706.78,5910.44
2000,16203,Estimated,Estimated using previous year's AADF on this link,London,Tower Hamlets,A13,TU,536500,181120,A101,A1261,0.5,45,261.82,5728.07,138.44,778.56,196.14,15.42,12.88,7.62,13.79,10.7,256.56,7163.45
2000,17496,Estimated,Estimated using previous year's AADF on this link,London,Tower Hamlets,A1202,PU,533980,181190,B126 Prescot St,A13/A11 mid-junction,0.25,21.68,86.27,1292.76,11.25,300.65,82.74,4.08,2.45,3.99,1.81,0.82,95.89,1786.82
2000,17498,Estimated,Estimated using previous year's AADF on this link,London,Tower Hamlets,A1208,PU,534000,183100,A10/A5201,A107,1.06,112.58,316.16,6949.73,303.44,1246.13,220.54,11.18,20.43,17.74,6.17,10.02,286.09,9101.55
2000,18436,Estimated,Estimated using previous year's AADF on this link,London,Tower Hamlets,A1210,PU,533800,181070,LA Boundary,A11,0.25,56.25,166.47,1511.85,32.66,69.76,217.18,165.56,4.17,3.9,1.54,0,392.36,2173.11
2000,18467,Estimated,Estimated using previous year's AADF on this link,London,Tower Hamlets,A3211,PU,533634,180720,A100,LA Boundary,0.19,39.53,263.45,2658.33,15.38,126.62,288.76,200.04,14.49,20.89,4.69,0.34,529.22,3593
