Area,Ward,mnemonic,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,Not in employment
msoa2011:Newham 001,Forest Gate North,E02000714,87,1258,724,515,9,20,729,63,90,234,15,2262
msoa2011:Newham 002,Little Ilford,E02000715,63,649,408,543,6,13,641,49,27,182,19,2545
msoa2011:Newham 003,Manor Park,E02000716,78,752,542,542,8,11,702,59,61,160,19,2436
msoa2011:Newham 004,Manor Park,E02000717,68,947,552,558,4,9,675,59,33,208,13,2768
msoa2011:Newham 005,Little Ilford,E02000718,63,612,266,405,9,7,630,43,33,175,19,2310
msoa2011:Newham 006,Forest Gate North,E02000719,120,1599,604,430,4,35,692,57,87,267,17,2467
msoa2011:Newham 007,Forest Gate South,E02000720,85,963,524,439,3,19,763,70,100,274,12,2459
msoa2011:Newham 008,Green Street West,E02000721,72,1167,561,603,8,13,793,49,56,364,19,3564
msoa2011:Newham 009,Forest Gate South,E02000722,95,2003,556,484,9,36,599,51,96,250,21,2316
msoa2011:Newham 010,East Ham North,E02000723,104,1565,629,469,14,10,903,97,27,461,27,3715
msoa2011:Newham 011,Stratford and New Town,E02000724,93,1246,466,519,3,13,817,61,34,338,19,3293
msoa2011:Newham 012,New River,E02000725,121,2612,646,475,13,34,492,30,112,310,16,2462
msoa2011:Newham 013,New River,E02000726,121,2523,614,517,10,27,633,37,125,253,25,2379
msoa2011:Newham 014,Green Street East,E02000727,107,1306,446,475,7,15,595,45,36,372,17,2883
msoa2011:Newham 015,Wall End,E02000728,83,1415,402,369,6,10,736,67,31,254,17,2706
msoa2011:Newham 016,West Ham,E02000729,79,1316,332,402,3,20,678,46,58,244,28,2156
msoa2011:Newham 017,Green Street West,E02000730,88,1398,474,493,6,15,684,61,34,357,19,3289
msoa2011:Newham 018,East Ham Central,E02000731,111,1625,553,655,9,6,768,70,37,377,20,3348
msoa2011:Newham 019,Boleyn,E02000732,63,1050,298,391,10,8,597,45,29,254,18,2651
msoa2011:Newham 020,West Ham,E02000733,95,1924,605,520,13,19,728,43,89,210,21,2988
msoa2011:Newham 021,Plaistow North,E02000734,70,1457,392,397,6,18,580,33,65,177,21,2365
msoa2011:Newham 022,Plaistow North,E02000735,74,1288,439,435,4,17,524,31,42,213,28,2527
msoa2011:Newham 023,Wall End,E02000736,63,1001,341,515,14,16,850,61,32,264,14,2751
msoa2011:Newham 024,East Ham Central,E02000737,74,1252,331,616,17,23,963,68,71,319,19,2825
msoa2011:Newham 025,Boleyn,E02000738,67,1330,340,515,6,22,913,54,54,291,14,2467
msoa2011:Newham 026,Plaistow South,E02000739,40,1364,333,444,5,18,573,38,57,192,28,2065
msoa2011:Newham 027,Canning Town North,E02000740,55,1355,419,306,13,17,525,37,38,164,23,2125
msoa2011:Newham 028,Plaistow South,E02000741,75,1229,361,572,14,23,760,57,63,269,27,2454
msoa2011:Newham 029,East Ham South,E02000742,61,965,328,453,16,17,904,72,54,219,21,2319
msoa2011:Newham 030,Canning Town North,E02000743,61,1166,379,558,6,25,626,30,37,214,12,2586
msoa2011:Newham 031,Canning Town South,E02000744,69,1208,318,557,7,32,739,62,87,245,14,2424
