,,,,2011,,,
Old ward code,New code,Ward name,Borough name,All aged 16-74 in work,Travel by bicycle,% travel by bicycle,Percentage point change
00AA,E09000001,City of London,City of London,"4,747",252,5.3,3.6
00ABFX,E05000026,Abbey,Barking and Dagenham,"5,489",44,0.8,-0.3
00ABFY,E05000027,Alibon,Barking and Dagenham,"4,214",43,1,-0.9
00ABFZ,E05000028,Becontree,Barking and Dagenham,"4,674",77,1.6,-0.2
00ABGA,E05000029,Chadwell Heath,Barking and Dagenham,"3,916",46,1.2,0.3
00ABGB,E05000030,Eastbrook,Barking and Dagenham,"4,686",73,1.6,0
00ABGC,E05000031,Eastbury,Barking and Dagenham,"4,620",70,1.5,-0.2
00ABGD,E05000032,Gascoigne,Barking and Dagenham,"4,433",60,1.4,-0.4
00ABGE,E05000033,Goresbrook,Barking and Dagenham,"4,596",80,1.7,-0.8
00ABGF,E05000034,Heath,Barking and Dagenham,"4,122",66,1.6,-0.4
00ABGG,E05000035,Longbridge,Barking and Dagenham,"4,979",56,1.1,0.2
00ABGH,E05000036,Mayesbrook,Barking and Dagenham,"4,044",63,1.6,-0.4
00ABGJ,E05000037,Parsloes,Barking and Dagenham,"3,840",47,1.2,-0.5
00ABGK,E05000038,River,Barking and Dagenham,"4,491",61,1.4,0.1
00ABGL,E05000039,Thames,Barking and Dagenham,"4,133",87,2.1,0.6
00ABGM,E05000040,Valence,Barking and Dagenham,"3,949",60,1.5,0.2
00ABGN,E05000041,Village,Barking and Dagenham,"4,322",103,2.4,0.7
00ABGP,E05000042,Whalebone,Barking and Dagenham,"4,709",48,1,0.1
00ACFX,E05000043,Brunswick Park,Barnet,"7,871",75,1,0.3
00ACFY,E05000044,Burnt Oak,Barnet,"7,828",61,0.8,-0.4
00ACFZ,E05000045,Childs Hill,Barnet,"9,699",247,2.5,1.2
00ACGA,E05000046,Colindale,Barnet,"7,506",77,1,0.5
00ACGB,E05000047,Coppetts,Barnet,"8,842",179,2,1
00ACGC,E05000048,East Barnet,Barnet,"7,846",68,0.9,0
00ACGD,E05000049,East Finchley,Barnet,"8,403",263,3.1,1.6
00ACGE,E05000050,Edgware,Barnet,"7,607",52,0.7,0.2
00ACGF,E05000051,Finchley Church End,Barnet,"7,843",106,1.4,0.5
00ACGG,E05000052,Garden Suburb,Barnet,"7,859",196,2.5,1.4
00ACGH,E05000053,Golders Green,Barnet,"7,947",133,1.7,0.6
00ACGJ,E05000054,Hale,Barnet,"8,130",63,0.8,0.2
00ACGK,E05000055,Hendon,Barnet,"8,670",107,1.2,0.5
00ACGL,E05000056,High Barnet,Barnet,"7,729",120,1.6,0.6
00ACGM,E05000057,Mill Hill,Barnet,"8,711",85,1,0.4
00ACGN,E05000058,Oakleigh,Barnet,"7,864",76,1,0.3
00ACGP,E05000059,Totteridge,Barnet,"7,229",76,1.1,0.3
00ACGQ,E05000060,Underhill,Barnet,"7,152",58,0.8,-0.1
00ACGR,E05000061,West Finchley,Barnet,"8,809",147,1.7,0.5
00ACGS,E05000062,West Hendon,Barnet,"8,259",109,1.3,0.6
00ACGT,E05000063,Woodhouse,Barnet,"8,854",175,2,0.8
00ADGA,E05000064,Barnehurst,Bexley,"5,091",49,1,0.2
00ADGB,E05000065,Belvedere,Bexley,"5,563",69,1.2,0.3
00ADGC,E05000066,Blackfen and Lamorbey,Bexley,"5,324",75,1.4,0.4
00ADGD,E05000067,Blendon and Penhill,Bexley,"5,491",68,1.2,0.3
00ADGE,E05000068,Brampton,Bexley,"5,140",55,1.1,0
00ADGF,E05000069,Christchurch,Bexley,"5,537",52,0.9,0
00ADGG,E05000070,Colyers,Bexley,"5,055",57,1.1,-0.2
00ADGH,E05000071,Crayford,Bexley,"5,351",56,1,-0.5
00ADGJ,E05000072,Cray Meadows,Bexley,"5,080",78,1.5,0.5
00ADGK,E05000073,Danson Park,Bexley,"5,375",57,1.1,0.2
00ADGL,E05000074,East Wickham,Bexley,"5,173",61,1.2,0.4
00ADGM,E05000075,Erith,Bexley,"5,357",55,1,0.2
00ADGN,E05000076,Falconwood and Welling,Bexley,"5,504",58,1.1,0.1
00ADGP,E05000077,Lesnes Abbey,Bexley,"5,148",55,1.1,0.3
